Nasdaq Traded|Symbol|Security Name|Listing Exchange|Market Category|ETF|Round Lot Size|Test Issue|Financial Status|CQS Symbol|NASDAQ Symbol|NextShares
Y|AFSI$F|AmTrust Financial Services, Inc. Depositary Shares, Each Representing 1/40 th Interest in a Share of 6.95% Non-Cumulative Preferred Stock, Series F|N| |N|100|N||AFSIpF|AFSI-F|N
Y|AFSS|AmTrust Financial Services, Inc. 7.25% Subordinated Notes due 2055|N| |N|100|N||AFSS|AFSS|N
Y|AFST|AmTrust Financial Services, Inc. 7.50% Subordinated Notes due September 15, 2055|N| |N|100|N||AFST|AFST|N
Y|AFT|Apollo Senior Floating Rate Fund Inc. Common Stock|N| |N|100|N||AFT|AFT|N
Y|AFTY|CSOP FTSE China A50 ETF|P| |Y|100|N||AFTY|AFTY|N
Y|AFW|American Financial Group, Inc. 6 3/8% Senior Notes due 2042|N| |N|100|N||AFW/CL|AFW*|N
Y|AG|First Majestic Silver Corp. Ordinary Shares (Canada)|N| |N|100|N||AG|AG|N
Y|AGA|DB Agriculture Double Short ETN due April 1, 2038|P| |N|100|N||AGA|AGA|N
Y|AGC|Advent Claymore Convertible Securities and Income Fund Common Shares of Beneficial Interest|N| |N|100|N||AGC|AGC|N
Y|AGCO|AGCO Corporation Common Stock|N| |N|100|N||AGCO|AGCO|N
Y|AGD|Alpine Global Dynamic Dividend Fund Shares of Beneficial Interest|N| |N|100|N||AGD|AGD|N
Y|AGEN|Agenus Inc. - Common Stock|Q|S|N|100|N|N||AGEN|N
Y|AGF|DB Agriculture Long ETN due April 1, 2038|P| |N|100|N||AGF|AGF|N
Y|AGFS|AgroFresh Solutions, Inc. - Common Stock|Q|Q|N|100|N|N||AGFS|N
Y|AGFSW|AgroFresh Solutions, Inc. - Warrants|Q|Q|N|100|N|N||AGFSW|N
Y|AGG|iShares Core U.S. Aggregate Bond ETF|P| |Y|100|N||AGG|AGG|N
Y|AGGE|IQ Enhanced Core Bond U.S. ETF|P| |Y|100|N||AGGE|AGGE|N
Y|AGGP|IQ Enhanced Core Plus Bond U.S. ETF|P| |Y|100|N||AGGP|AGGP|N
Y|AGGY|WisdomTree Barclays Yield Enhanced U.S. Aggregate Bond Fund|P| |Y|100|N||AGGY|AGGY|N
Y|AGI|Alamos Gold Inc. Class A Common Shares|N| |N|100|N||AGI|AGI|N
Y|AGII|Argo Group International Holdings, Ltd. - Common Stock|Q|Q|N|100|N|N||AGII|N
Y|AGIIL|Argo Group International Holdings, Ltd. - 6.5% Senior Notes Due 2042|Q|Q|N|100|N|N||AGIIL|N
Y|AGIO|Agios Pharmaceuticals, Inc. - Common Stock|Q|Q|N|100|N|N||AGIO|N
Y|AGLE|Aeglea BioTherapeutics, Inc. - Common Stock|Q|G|N|100|N|N||AGLE|N
Y|AGM|Federal Agricultural Mortgage Corporation Common Stock|N| |N|100|N||AGM|AGM|N
Y|AGM$A|Federal Agricultural Mortgage Corporation 5.875% Non-CUmulative Preferred Stock, Series A|N| |N|100|N||AGMpA|AGM-A|N
Y|AGM$B|Federal Agricultural Mortgage Corporation Non Cumulative Preferred Stock Series B|N| |N|100|N||AGMpB|AGM-B|N
Y|AGM$C|Federal Agricultural Mortgage Corporation Preferred Series C Fixed to Fltg|N| |N|100|N||AGMpC|AGM-C|N
Y|AGM.A|Federal Agricultural Mortgage Corporation Common Stock|N| |N|100|N||AGM/A|AGM.A|N
Y|AGN|Allergan plc Ordinary Shares|N| |N|100|N||AGN|AGN|N
Y|AGN$A|Allergan plc. 5.50% Mandatory Convertible Preferred Shares, Series A|N| |N|10|N||AGNpA|AGN-A|N
Y|AGNC|AGNC Investment Corp. - Common Stock|Q|Q|N|100|N|N||AGNC|N
Y|AGNCB|AGNC Investment Corp. - Depositary Shares representing 1/1000th Series B Preferred Stock|Q|Q|N|100|N|N||AGNCB|N
Y|AGNCP|AGNC Investment Corp. - Cumulative Preferred Series A|Q|Q|N|100|N|N||AGNCP|N
Y|AGND|WisdomTree Barclays Negative Duration U.S. Aggregate Bond Fund|Q|G|Y|100|N|N||AGND|N
Y|AGO|Assured Guaranty Ltd. Common Stock|N| |N|100|N||AGO|AGO|N
Y|AGO$B|Assured Guaranty Ltd.|N| |N|100|N||AGOpB|AGO-B|N
Y|AGO$E|Assured Guaranty Ltd.|N| |N|100|N||AGOpE|AGO-E|N
Y|AGO$F|Assured Guaranty Ltd.|N| |N|100|N||AGOpF|AGO-F|N
Y|AGQ|ProShares Ultra Silver|P| |Y|100|N||AGQ|AGQ|N
Y|AGR|Avangrid, Inc. Common Stock|N| |N|100|N||AGR|AGR|N
Y|AGRO|Adecoagro S.A. Common Shares|N| |N|100|N||AGRO|AGRO|N
Y|AGRX|Agile Therapeutics, Inc. - Common Stock|Q|G|N|100|N|N||AGRX|N
Y|AGT|iShares MSCI Argentina and Global Exposure ETF|Z| |Y|100|N||AGT|AGT|N
Y|AGTC|Applied Genetic Technologies Corporation - Common Stock|Q|G|N|100|N|N||AGTC|N
Y|AGU|Agrium Inc. Common Stock|N| |N|100|N||AGU|AGU|N
Y|AGX|Argan, Inc. Common Stock|N| |N|100|N||AGX|AGX|N
Y|AGYS|Agilysys, Inc. - Common Stock|Q|Q|N|100|N|N||AGYS|N
Y|AGZ|iShares  Agency Bond ETF|P| |Y|100|N||AGZ|AGZ|N
Y|AGZD|WisdomTree Barclays Interest Rate Hedged U.S. Aggregate Bond Fund|Q|G|Y|100|N|N||AGZD|N
Y|AHC|A.H. Belo Corporation Common Stock|N| |N|100|N||AHC|AHC|N
Y|AHGP|Alliance Holdings GP, L.P. - Common Units Representing Limited Partner Interests|Q|Q|N|100|N|N||AHGP|N
Y|AHH|Armada Hoffler Properties, Inc. Common Stock|N| |N|100|N||AHH|AHH|N
Y|AHL|Aspen Insurance Holdings Limited Ordinary Shares|N| |N|100|N||AHL|AHL|N
Y|AHL$B|Aspen Insurance Holdings Limited Perp Pref Shs (Bermuda)|N| |N|100|N||AHLpB/CL|AHL-B*|N
Y|AHL$C|Aspen Insurance Holdings Limited 5.95% Fixed-to-Floating Rate Perpetual Non-Cumulative Preference Shares|N| |N|100|N||AHLpC|AHL-C|N
Y|AHL$D|Aspen Insurance Holdings Limited 5.625% Perpetual Non-Cumulative Preference Shares|N| |N|100|N||AHLpD|AHL-D|N
Y|AHP|Ashford Hospitality Prime, Inc. Common Stock|N| |N|100|N||AHP|AHP|N
Y|AHP$B|Ashford Hospitality Prime, Inc. Ashford Hospitality Prime, Inc. 5.50% Series B Cumulative Convertible Preferred Stock, par value $0.01 per share|N| |N|100|N||AHPpB|AHP-B|N
Y|AHPA|Avista Healthcare Public Acquisition Corp. - Class A Ordinary Shares|Q|S|N|100|N|N||AHPA|N
Y|AHPAU|Avista Healthcare Public Acquisition Corp. - Unit|Q|S|N|100|N|N||AHPAU|N
Y|AHPAW|Avista Healthcare Public Acquisition Corp. - Warrants|Q|S|N|100|N|N||AHPAW|N
Y|AHPI|Allied Healthcare Products, Inc. - Common Stock|Q|S|N|100|N|N||AHPI|N
Y|AHT|Ashford Hospitality Trust Inc Common Stock|N| |N|100|N||AHT|AHT|N
Y|AHT$A|Ashford Hospitality Trust Inc 8.55% Cum Preferred Series A|N| |N|100|N||AHTpA|AHT-A|N
Y|AHT$D|Ashford Hospitality Trust Inc 8.45% Series D Cumulative Preferred Stock|N| |N|100|N||AHTpD|AHT-D|N
Y|AHT$F|Ashford Hospitality Trust Inc 7.375% Series F Cumulative Preferred Stock|N| |N|100|N||AHTpF|AHT-F|N
