"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"AGO","Assured Guaranty Ltd.","38.73","5049428823.63","n/a","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/ago",
"ASFI","Asta Funding, Inc.","10.05","119356051.2","n/a","n/a","Finance","Finance Companies","http://www.nasdaq.com/symbol/asfi",
"AF","Astoria Financial Corporation","18.72","1896875772.48","n/a","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/af",
"ATH","Athene Holding Ltd.","47.12","10728788140","n/a","n/a","Finance","Life Insurance","http://www.nasdaq.com/symbol/ath",
"AAME","Atlantic American Corporation","4.1","83702434.8","n/a","n/a","Finance","Life Insurance","http://www.nasdaq.com/symbol/aame",
"ACBI","Atlantic Capital Bancshares, Inc.","19.65","491646851.4","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/acbi",
"ACFC","Atlantic Coast Financial Corporation","7.3453","113918705.7633","n/a","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/acfc",
"ATLC","Atlanticus Holdings Corporation","2.8689","44100400.8765","n/a","n/a","Finance","Finance: Consumer Services","http://www.nasdaq.com/symbol/atlc",
"AFH","Atlas Financial Holdings, Inc.","17.2","206800674","n/a","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/afh",
"AUBN","Auburn National Bancorporation, Inc.","31.744","115659994.112","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/aubn",
"AHPA","Avista Healthcare Public Acquisition Corp.","9.7501","376597612.5","n/a","n/a","Finance","Business Services","http://www.nasdaq.com/symbol/ahpa",
"AHPAU","Avista Healthcare Public Acquisition Corp.","10.25","0","n/a","n/a","Finance","Business Services","http://www.nasdaq.com/symbol/ahpau",
"AHPAW","Avista Healthcare Public Acquisition Corp.","0.5","0","n/a","n/a","Finance","Business Services","http://www.nasdaq.com/symbol/ahpaw",
"AXAR","Axar Acquisition Corp.","10.05","85486415.55","n/a","n/a","Finance","Business Services","http://www.nasdaq.com/symbol/axar",
"AXARU","Axar Acquisition Corp.","9.9149","0","n/a","n/a","Finance","Business Services","http://www.nasdaq.com/symbol/axaru",
"AXARW","Axar Acquisition Corp.","0.08","0","n/a","n/a","Finance","Business Services","http://www.nasdaq.com/symbol/axarw",
"AXS","Axis Capital Holdings Limited","65.95","5832954015.25","n/a","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/axs",
"BWINA","Baldwin & Lyons, Inc.","25","377100225","n/a","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/bwina",
"BWINB","Baldwin & Lyons, Inc.","25.2","380117026.8","n/a","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/bwinb",
"BANC","Banc of California, Inc.","17.35","862729513.4","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/banc",
"BANF","BancFirst Corporation","93.05","1461665038.15","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/banf",
"BANFP","BancFirst Corporation","27.43","27430000","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/banfp",
"BBVA","Banco Bilbao Viscaya Argentaria S.A.","6.97","45769308236.74","n/a","n/a","Finance","Commercial Banks","http://www.nasdaq.com/symbol/bbva",
"BBD","Banco Bradesco Sa","9.38","51889082228.62","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/bbd",
"BBDO","Banco Bradesco Sa","9.85","54489068225.15","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/bbdo",
"BCH","Banco De Chile","70.66","11573571337.3","n/a","n/a","Finance","Commercial Banks","http://www.nasdaq.com/symbol/bch",
"BLX","Banco Latinoamericano de Comercio Exterior, S.A.","29.26","1145812002.72","n/a","n/a","Finance","Commercial Banks","http://www.nasdaq.com/symbol/blx",
"BSBR","Banco Santander Brasil SA","9.08","69509887920","n/a","n/a","Finance","Commercial Banks","http://www.nasdaq.com/symbol/bsbr",
"BSAC","Banco Santander Chile","21.94","10336270033.04","n/a","n/a","Finance","Commercial Banks","http://www.nasdaq.com/symbol/bsac",
"SAN","Banco Santander, S.A.","5.42","78234949778.18","n/a","n/a","Finance","Commercial Banks","http://www.nasdaq.com/symbol/san",
"CIB","BanColombia S.A.","38.2","9185447850","n/a","n/a","Finance","Commercial Banks","http://www.nasdaq.com/symbol/cib",
"BCTF","Bancorp 34, Inc.","12.85","44180741.5","n/a","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/bctf",
"BKJ","Bancorp of New Jersey, Inc","13.4","84638299.4","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/bkj",
"BXS","BancorpSouth, Inc.","31.45","2945358513.55","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/bxs",
"BKMU","Bank Mutual Corporation","9.55","436165518.1","n/a","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/bkmu",
"BAC","Bank of America Corporation","22.68","229182458112.72","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/bac",
"BAC^W","Bank of America Corporation","25.99","0","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/bac^w",
"BAC^Y","Bank of America Corporation","25.85","0","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/bac^y",
"BOCH","Bank of Commerce Holdings (CA)","10.4","139769988.8","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/boch",
"BOH","Bank of Hawaii Corporation","88.92","3796251156.36","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/boh",
"BMRC","Bank of Marin Bancorp","67.85","415457830.85","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/bmrc",
"BMO","Bank Of Montreal","73.78","47806718846.04","n/a","n/a","Finance","Commercial Banks","http://www.nasdaq.com/symbol/bmo",
"NTB","Bank of N.T. Butterfield & Son Limited (The)","32.48","1729505011.36","n/a","n/a","Finance","Commercial Banks","http://www.nasdaq.com/symbol/ntb",
